fast runs
PF geneva
Daily PF:  2025-01-01 → 2025-12-31  (364 days,  20 perturbed members)
Depth weights: {0: 0.38, -1.0: 0.88, -2.0: 1.5, -4.0: 2.0, -6.0: 2.0, -8.0: 2.0, -10.0: 2.0, -12.0: 2.0, -14.0: 2.0, -16.0: 2.0, -18.0: 2.5, -21.0: 3.0, -24.0: 3.0, -27.0: 3.0, -30.0: 4.0, -35.0: 5.0, -40.0: 5.0, -45.0: 5.0, -50.0: 2.5}

Started 21 persistent containers.

  2025-04-18  best=ensemble09  RMSE=0.5477 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.5s]
  2025-04-19  best=ensemble07  RMSE=0.8195 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-04-20  best=ensemble03  RMSE=0.9710 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-04-21  best=ensemble01  RMSE=0.6967 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-04-22  best=ensemble12  RMSE=0.6048 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-04-23  best=ensemble04  RMSE=0.6044 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-04-24  best=ensemble13  RMSE=0.5305 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-04-25  best=ensemble18  RMSE=0.6523 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-04-26  best=ensemble16  RMSE=0.6019 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-04-27  best=ensemble19  RMSE=0.6373 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-04-28  best=ensemble10  RMSE=0.6463 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.1s  score=1.1s  total=20.4s]
  2025-04-29  best=ensemble02  RMSE=0.6509 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.1s  score=1.1s  total=20.2s]
  2025-04-30  best=ensemble10  RMSE=0.7023 °C  obs_raw=456  matched=418  [ok]  [docker=17.3s  accum=0.0s  mean=2.2s  score=1.1s  total=20.7s]
  2025-05-01  best=ensemble10  RMSE=0.8114 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.2s  total=20.5s]
  2025-05-02  best=ensemble16  RMSE=1.0936 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.2s  total=20.4s]
  2025-05-03  best=ensemble19  RMSE=0.8285 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.2s  total=20.4s]
  2025-05-04  best=ensemble12  RMSE=0.6092 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-05-05  best=ensemble06  RMSE=0.6131 °C  obs_raw=456  matched=418  [ok]  [docker=16.8s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-05-06  best=ensemble14  RMSE=0.6243 °C  obs_raw=456  matched=418  [ok]  [docker=17.5s  accum=0.0s  mean=2.2s  score=1.1s  total=20.8s]
  2025-05-07  best=ensemble17  RMSE=1.0854 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
